rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,adv_description,link
3 000 zł,750 zł/miesiąc,"ul. rtm. Witolda Pileckiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",50 m²,2,2/7,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2004,"tylko dla niepalących, oddzielna kuchnia",52.148124,21.037772,"Do wynajęcia 2-pokojowe mieszkanie o pow. 50 m2 przy ul. Pileckiego, na osiedlu „Olimpia” (Imielin).
Mieszkanie na kameralnym, zadbanym, zamkniętym osiedlu, składającym się z 3 budynków z własnym
boiskiem, kortem tenisowym, monitoringiem i całodobową ochroną.
Lokal znajduje się na 2 piętrze w budynku z windą zjeżdżającą do garażu podziemnego. Okna mieszkania
wychodzą na wewnętrzne patio.
Mieszkanie składa się z 2 pokoi, oddzielnej kuchni oraz balkonu, w pełni urządzonych i wyposażonych w
sprzęty AGD i RTV (TV 40 cali + soundbar). W przedpokoju oraz sypialni znajdują się duże szafy wnękowe.
Do mieszkania przynależy miejsce parkingowe w garażu podziemnym (plus 250 zł). Istnieje możliwość
wynajęcia mieszkania bez miejsca garażowego.
Możliwość kontynuowania umowy z Netią na Telewizję kablową (+ pakiet sportowy i Polsat Sport) oraz
Internet (50 zł).
Niedaleko znajduje się stacja metra Imielin (12 min piechotą) oraz przystanki autobusowe. Okolica
charakteryzuje się dobrze rozwinięta infrastrukturą handlowo-usługową (Lidl, Auchan, Obi, Biedronka,
bazarek, basen, siłownie, kino). W pobliżu tereny zielone, las kabacki i ścieżki rowerowe.
Cena: 3000 zł + czynsz administracyjny (750 zł) zawiera zaliczki za wodę i ogrzewanie. Prąd płatny według
zużycia.
Kaucja: 4000 zł
Umowa najmu okazjonalnego na okres co najmniej 1 roku. Opłatę notarialną pokrywa właściciel.
Mieszkanie dostępne od 1 kwietnia 2024 r.
Proszę o kontakt telefoniczny pod nr 605 461 841 / 605 558 107 po godz. 18.00
Oferta dla osób niepalących, bez zwierząt.
Agencjom nieruchomości i obcokrajowcom dziękujemy!",https://www.otodom.pl/pl/oferta/warszawa-ursynow-2-pokoje-50-m-garaz-ID4psnq
3 600 zł,700 zł/miesiąc,"ul. Kaliny Jędrusik, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",42 m²,2,2/5,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2019,"klimatyzacja, tylko dla niepalących",52.256687,20.964648,"Wynajmę mieszkanie od 15.03.24 na osiedlu Żoliborz Artystyczny na ulicy Kaliny Jędrusik. Mieszkanie 42 m2 na II piętrze, z balkonem, od strony południowej - słoneczne, całkowicie umeblowane i wyposażone w sprzęt AGD. Dodatkowo do mieszkania przynależy miejsce w garażu podziemnym. Mieszkanie składa się z 2 pokoi - dużego pokoju połączonego z kuchnią oraz sypialni ( w sypialni łóżko 140x200 z materacem ) i łazienki oraz przedpokoju. Mieszkanie wyposażone jest w klimatyzację.
W pobliżu zlokalizowane jest centrum handlowe Arkadia- 5 min samochodem oraz trasa S 8 .Dojazd do Śródmieścia zajmuje 10 min . Osiedle chronione, monitorowane.

Ogólna kwota do zapłacenia wynajmującemu wynosi 4300 zł ( zawiera czynsz oraz ryczałt za media i miejsce w garażu podziemnym ).

Do wynajęcia od 15.03.2024 po podpisaniu umowy najmu okazjonalnego.

Wymagana 1 miesieczna kaucja.

Nie akceptujemy zwierząt domowych.

Agencjom nieruchomości dziękujemy.",https://www.otodom.pl/pl/oferta/wynajme-od-15-03-mieszkanie-42m2-zoliborz-kaliny-j-ID4pDcW
2 850 zł,550 zł/miesiąc,"Jelonki południowe, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",50 m²,2,10/12,,balkon,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",tak,,,"piwnica, tylko dla niepalących, oddzielna kuchnia",52.226822,20.901545,"Wynajmę 2 pokojowe mieszkanie o powierzchni 49,91 m2 z bardzo ładnym rozkładem pomieszczeń. Pokój duży (19,7 m2) w kwadracie z wyjściem na loggię 4,6 m2. W pokoju rozkładana kanapa z powierzchnią do spania 197x150 oraz łóżko pojedyncze o wym. 197x80 (może zostać usunięte z mieszkania). Pokój mały (11,4 m2) w kwadracie z pojedynczym łóżkiem (200x90) i biurkiem do nauki. Kuchnia (8,05 m2) stanowi oddzielne pomieszczenie z oknem. Posiada stół z 4-ma taboretami, niezbędne wyposażenie i kompletną zastawę kuchenną. W przedpokoju (7,62 m2) dwie zabudowane szafy i trzy duże szafki stojące. Mieszkanie jest ciche, w pełni umeblowane, a meble i inne wyposażenie widoczne są na zdjęciach.
Mieszkanie usytuowane jest na 10 piętrze, a dostęp także dla niepełnosprawnych zapewniają 2-ie windy. Okna mieszkania wychodzą na zachód. Dostęp słońca ograniczają rolety przeciwsłoneczne oraz dodatkowo w małym pokoju roleta rzymska, a w dużym pokoju osłona przeciwsłoneczna balkonowa. Do mieszkania doprowadzony jest kabel telewizji kablowej. Budynek, w którym znajduje się mieszkanie jest ponownie ocieplony z odnowioną elewacją w 2022 roku, zadbany i regularnie sprzątany wraz z otoczeniem.
Mieszkanie zlokalizowane jest w pobliżu licznych lokali handlowych i usługowych. Pod blokiem Żabka, piekarnia Putka, Stokrotka, siłownia plenerowa, stomatologia i górka dla dzieci. W pobliżu (500 m) Biedronka, Rossmann, Kaufland i stacja benzynowa z myjnią samochodową. Hala Wola (5 min.), CH Wola Park i Centrum Bemowo w zasięgu do 15 min. Komunikacja miejska zapewnia dojazd do centrum w 30 min., do WAT-u i II linii metra w 10 min, na Żoliborz w 20 min.
Istnieje możliwość wynajęcia miejsca parkingowego.
Opłaty: czynsz wynajmu 2850,00 zł, czynsz administracyjny 550,00 zł, dodatkowo płatne opłaty za media.
Kaucja wynosi 4200,00 zł.
Oferta skierowana jest do osób niepalących, bez zwierząt i posługujących się językiem polskim w komunikatywny sposób.
Mieszkanie dostępne jest od zaraz.
W przypadku konieczności udzielenia dodatkowych informacji proszę o kontakt telefoniczny.
Pośrednikom i agencjom z opłatami za pośrednictwo dziękuję.",https://www.otodom.pl/pl/oferta/2-pokoje-50-m2-na-jelonkach-osobna-kuchnia-ID4p8rV
3 100 zł,490 zł/miesiąc,"Okęcie, Włochy, Warszawa, mazowieckie",38 m²,1,3/3,apartamentowiec,"balkon, taras",do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,2020,"klimatyzacja, pom. użytkowe",,,"Nowa kawalerka na nowym osiedlu city sfera kawalerka jest pełno wyposażona kuchnia Łazienka sypialnia wszystko co jest potrzebne to jest kawalerka ma około 38 metrów kwadratowych blisko jest przystanek do autobusów i Przestanek dla pociągów Mieszkanie ma wbudowane dom inteligentny i Klimatyzacja mieszkanie się znajduje na trzecim piętrze w rogu budynek ma 3 piętra bardzo cicho siłownia jest prywatna też już doliczona w cenie cena za wynajem to jest 3000, czynsz wychodzi 490 zł ,prąd wychodzi około 100 zł miesięcznie Kawalerka będzie gotowa do wynajmu od 01-03-2024",https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-oddzielnym-pokojem-ID4pj2N
3 500 zł,1 000 zł/miesiąc,"ul. Ludwika Kondratowicza 63C, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",63 m²,3,2/3,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,garaż/miejsce parkingowe,2004,"tylko dla niepalących, oddzielna kuchnia",52.293487,21.057023,"Do wynajęcia w pełni wyposażone mieszkanie 3 pokoje, 63m2 z garażem podziemnym na kameralnym, strzeżonym osiedlu „Park Leśny” z widokiem na Las Bródnowski.

Adres: ul. Kondratowicza 63C, osiedle „Park Leśny”.

Otoczenie: Lasu Bródnowskiego, widok na las z salonu, kuchni oraz balkonu. W pobliżu: park, sklepy, szkoły, przedszkola, szpital, urząd gminy, komunikacja, kina, baseny, stacja metra Kondratowicza.

Osiedle: kameralne, 3 piętrowe budynki, dużo zieleni, zamknięte, strzeżone, wew. plac zabaw dla dzieci.

Mieszkanie: 63m2, 3 pokoje, jasne, na drugim piętrze, duży balkon z widokiem na las. Pełne wyposażenie: TV, pralka, zmywarka, suszarka do prania, mikrofalówka, lodówka etc. Na balkonie stolik + 4 krzesła drewniane.
Koszt: Wynajem 3'500zł, Czynsz 1'000zł + prąd, nadwyżki zużyć. Umowa najmu okazjonalnego.

Miejsce garażowe: w budynku w garażu na poziomie -1. Wejście do garażu bezpośrednio z klatki. Nieobowiązkowo, płatne, dodatkowo 250zł/miesiąc.
Kontakt: 668 84 80 40",https://www.otodom.pl/pl/oferta/park-lesny-mieszkanie-63m2-3-pokojowe-garaz-ID3mpeD
2 850 zł,560 zł/miesiąc,"ul. Wspólna, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",27 m²,1,3/4,kamienica,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,garaż/miejsce parkingowe,,"piwnica, tylko dla niepalących, oddzielna kuchnia",52.226523,21.010478,"Wynajmę bezpośrednio wyremontowane, umeblowane i przestronne mieszkanie o powierzchni 27m2 na ul. Wspólnej, w samym CENTRUM miasta (Śródmieście Południowe).

Mieszkanie dostępne od marca 2024 roku, konkretny termin do uzgodnienia.

Składa się z jednego bardzo ustawnego pokoju z oddzielną, przestronną kuchnią i łazienką.

W wyposażeniu mieszkania znajdują się duża i mniejsza szafa, maleńka komoda, kompletnie wyposażona kuchnia (pralka, zmywarka, duży piekarnik z płytą indukcyjną, lodówka), stół kuchenny oraz krzesła.

W salonie zostaną tylko białe duże szafy, zgodnie z opisem powyższego umeblowania.

Położone na 3. piętrze w cichym podwórku z dala od głównej ulicy, zapewnia spokój pomimo tak doskonałej lokalizacji.

Do mieszkania przynależy niewielka piwnica oraz istnieje możliwość parkowania samochodu na terenie podwórka/patio kamienicy.

5 minut spacerem do stacji metra Centrum oraz wszystkich lokalnych udogodnień, takich jak centrum handlowe Złote Tarasy, komunikacja miejska, dworzec PKP i WKD, bary, restauracje i kawiarnie na ulicy Poznańskiej oraz obszar ogólnego centrum miasta.

Umowa najmu okazjonalnego z miesięcznym terminem wypowiedzenia.
Wymagana zwrotna kaucja w wysokości 3 000 zł.
Miesięczny czynsz najmu to 2 900 zł plus czynsz i opłaty licznikowe (prąd średnio 50/60 zł miesięcznie)


Zapraszam do kontaktu i oglądania.
Joanna",https://www.otodom.pl/pl/oferta/przestronna-kawalerka-osobny-pokoj-metro-centrum-ID4ahWA
3 990 zł,500 zł/miesiąc,"skwer Skwer kard. Stefana Wyszyńskiego, Młynów, Wola, Warszawa, mazowieckie",40 m²,2,parter/6,apartamentowiec,"ogródek, taras",do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2021,,52.246684,20.963564,"English at the end
Do wynajęcia bezpośrednio nowe wcześniej nie wynajmowane 2 pokojowe mieszkanie na nowym zamkniętym , monitorowanym osiedlu przy ul. Obozowej 22.
Mieszkania składa się z  przestronnego salonu z aneksem kuchennym sypialni, łazienki oraz ogródka.
Mieszkanie ma wysokość 3.5m!
Mieszkanie znajduje się w bardzo blisko centrum.
W bezpośrednim sąsiedztwie tramwaj, autobus, kolejka miejska metro).
Mieszkanie składa się z dwóch pokoi, aneksu kuchennego, łazienki,  ogródka z wyjściem od strony salony oraz pokoju.

Budynek z recepcją z portierem i monitoringiem 24h/7.
W skład kosztów wynajęcie wchodzą: czynsz najmu 3990 PLN \ miesięcznie, czynsz do wspólnoty z zaliczkami na media 500 PLN \ miesięcznie oraz opłaty za prąd wg indywidualnego zużycia.
Możliwość dodatkowo wynajęcia miejsca parkingowego za kwotę 300 PLN miesięcznie.
Kaucja 4000 PLN
Pośredników zapraszam z klientem.

English
New, previously unrented 2-room apartment in closed, monitored estate at ul. Obozowa 22.
The apartment is very close to the center.
The appartment consist of living room with kitchen annex, bedroom, bathroom and external tarrace.   
Appartment is very High - 3.5m!
In the immediate vicinity of, tram, bus railway and metro.
  Building with reception with porter and 24/7 monitoring.
  The rental costs include: rent PLN 3990 \ per month, rent to the community with advance payments for utilities PLN 500 \ per month and electricity charges according to individual consumption.
Possibility to additionally rent a parking space for PLN 300 per month.
Deposit PLN 4,000 refundable after the end of the contract.",https://www.otodom.pl/pl/oferta/obozowa-2-pokoje-40m-nowe-ogrodek-z-tarasem-ID4nuyy
5 740 zł,,"ul. Bokserska 54, Służewiec, Mokotów, Warszawa, mazowieckie",61 m²,3,7/12,blok,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2022,,52.171745,20.996186,"Mokotów Służewiec nowe osiedle Bokserska 54. Mokotow Służewiec district brand new residential estate at Bokserska 54
Nowoczesne 3pokoje 61 m2|7 piętro / Modern 2bedroom flat area 61 m2 at 7 floor 
 Apartament dostępny ZARAZ/READY TO MOVE IN 
*WE ARE PETS FRIENDLY AND WE SPEAK ENGLISH :) English version below.
Doskonale zaprojektowane, wygodne 3pokojowe mieszkanie. Położone na wysokim 7 piętrze, o powierzchni 61 m2. 
Jasny salon z aneksem –  rozkładana sofa, stół + krzesła i szafka RTV. Kuchnia w formie aneksu ze zmywarką, piekarnikiem, płytą indukcyjną, lodówką i okapem, dwie sypialnie, w jednej łóżko 90x200, w głównej sypialni podwójne łózko 160x200. Łazienka z wanną, wyposażona w pralkę, oddzielne WC. W przedpokoju duża szafa.
Cena przy wynajmie rocznym 5740zł + opłaty licznikowe wg.zużycia, dostępny parking podziemny 250zł /msc
Jesteśmy właścicielem całego osiedla, posiadamy więcej mieszkań, stąd powtarzalność zdjęć i ogłoszeń. Zapraszam do kontaktu bezpośrednio. BEZ PROWIZJI. INTERNET w cenie najmu. 
Perfectly designed, comfortable 3 room apartment. Located on the high 7th floor, with an area of 61 m2.
Bright living room with an annex - sofa bed, table + chairs and RTV cabinet. Kitchen in the form of an annex with dishwasher, oven, induction hob, refrigerator and hood, two bedrooms, in one a bed 90x200, in the master bedroom a double bed 160x200. Bathroom with bathtub, equipped with a washing machine, separate toilet. In the hallway a large closet.
  Price for ONE-year rental: PLN 5,740 + counter fees according to consumption. **Underground parking available PLN 250/month. We own the entire residential building, we have more apartments, hence the repetition of photos and advertisements. Please contact me directly. NO COMMISION. INTERNET included in the rental price. 
Advantages of renting apartments from Heimstaden:
  ·        No commission for the transaction
·        Furnished apartment
·        Home appliances
·        Air conditioning
·        Technical support and customer service throughout the lease period
·        Monitoring of the building
·        Reception desk
·        Residential Security
·        Underground parking**
·        Unchangeable lease terms
Szczegóły dotyczące świadectwa charakterystyki energetycznej:
wskaźnik rocznego zapotrzebowania na energię użytkową  EU=80,90 kWh/(m2-rok)
wskaźnik rocznego zapotrzebowania na energię końcową EK=78,30 kWh/(m2-rok)
wskaźnik rocznego zapotrzebowania na nieodnawialną energię pierwotną EP=96,1  kWh/(m2-rok)
udział odnawialnych źródeł energii w rocznym zapotrzebowaniu na energię końcową 0,02645 t CO2/m2-rok)
jednostkowa wielkość emisji CO2. Uoze=0,00%
Details of the energy performance certificate
the ratios of annual energy demand for use: EU=80,90 kWh/(m2-per annum)
the rations of annual final energy: EK= 78,30 kWh (m2-per annum)
the ratios of annual non-renewable primary energy EP= 96,10 kWh (m2-per annum)
the share of renewable energy sources in the annual final energy demand: ECO2= 0,02645 t CO2/(m2-per annum)
the specific volume of CO2 emissions 0,00%",https://www.otodom.pl/pl/oferta/wygodne-3pokoje-balkon-dla-rodziny-mokobotanika-ID4pCoy
2 300 zł,450 zł/miesiąc,"ul. Stefana Batorego, Filtry, Ochota, Warszawa, mazowieckie","15,5 m²",1,,,,,prywatny,,,nie,,,,52.210573,21.005448,"Jeżeli jesteś studentem SGH nie mogłeś znaleźć lepszego mieszkania! W 3 minuty pieszo dojdziesz na główny gmach SGHu. Jeśli natomiast interesuje Cię Politechnika, to także świetnie trafiłeś. Do samego placu Politechniki wystarczy jeden przystanek metrem i jesteś na miejscu. Studenci Uniwersytetu Warszawskiego pod campus dojadą w ciągu 30 minut. 
Mieszkanie mieści się na niskim parterze bloku trzykondygnacyjnego oddanego do użytku dwa lata temu zatem wszystko jeszcze nowe i pachnące :) Mieszkanie wyposażone 
Do dyspozycji 2 minuty pieszo jest metro, przystanek autobusowy i tramwajowy, dzięki czemu mieszkanie jest świetnie skomunikowane z całą Warszawą. Do dworca centralnego dojazd zajmuje mniej niż 10 minut. 
Dosłownie pod blokiem znajduje się wejście do parku Pola Mokotowskie gdzie zarówno w dzień można oddać się relaksowi podczas spaceru jak i wieczorem odwiedzić kultowe puby Bolek, Lolek, Tolę lub Zieloną Gęś.
W pobliżu jest również poczta, kilka aptek, piekarnie, Rossmann, supermarket, a jeżeli szukasz czegoś od lokalnych dostawców to ryneczek ze świeżymi warzywami oraz owocami na pewno Cię zadowoli.  ",https://www.otodom.pl/pl/oferta/kawalerka-pole-mokotowskie-metro-3min-ID4pBJR
4 500 zł,900 zł/miesiąc,"ul. Capri, Stegny, Mokotów, Warszawa, mazowieckie",68 m²,4,3/4,blok,"balkon, taras",do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,,,"tylko dla niepalących, oddzielna kuchnia, pom. użytkowe",52.175525,21.057677,"Cena najmu: 4500 zł + czynsz.
Do wynajęcia mieszkanie usytuowane na Stegnach sąsiadujących bezpośrednio z Wilanowem. Oferuje przestronny układ pomieszczeń, co sprawia, że każdy kawałek przestrzeni jest funkcjonalny i komfortowy. W skład mieszkania wchodzą jasna kuchnia z jadalnią,przytulna sypialnia, pokój biurowy z łóżkiem i szafą,przestronny salon oraz nowoczesna łazienka.
Pół roku temu był przeprowadzony gruntowny remont, mieszkanie jest w wysokim standardzie.
Dodatkowym atutem jest bliskość przyrody i cisza otaczającego terenu. Idealne miejsce dla osób ceniących spokój i kontakt z naturą. W okolicy znajdują się tereny rekreacyjne,przedszkola, żłobki, szkoły podstawowe,basen oraz siłownia,ścieżki spacerowe i liczne sklepy tj. Mokpol, Biedronka, Rossmann, Auchan itd. oraz centrum handlowe Sadyba BestMall. Komunikacja bardzo dogodna.
Mieszkanie jest w pełni umeblowane i wyposażone, co ułatwi Państwu szybką i wygodną przeprowadzkę. Brak usług internetowych i telewizyjnych, co daje Państwu możliwość wyboru dostawcy według własnych preferencji.
W sąsiedztwie mieszkają wyłącznie sympatyczni sąsiedzi, co tworzy przyjazną atmosferę i sprzyja budowaniu lokalnej społeczności.
Mieszkanie przyjazne zwierzakom.
Wynajem bezpośredni agencjom bardzo dziękuję.
Wynajem okazjonalny na dłużej.
Zainteresowane osoby proszę o kontakt telefoniczny pod numerem 509-273-944. Zapraszam do kontaktu, chętnie udzielę więcej informacji i oprowadzę po mieszkaniu.
Prosimy o niesugerowanie się plamami innego koloru na dwóch ścianach, do czasu wynajmu zostaną one całkowicie odmalowane.",https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-stegny-mokotow-ID4oPyA
2 300 zł,700 zł/miesiąc,"ul. Tadeusza Korsaka 6, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",45 m²,2,3/4,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,,2008,oddzielna kuchnia,52.25454,21.049842,"Opis:
Oferuję do najmu dwu pokojowe mieszkanie na Warszawskiej Pradze – Północ przy ul. Tadeusza Korsaka 6. Mieszkanie jest w pełni wyposażone, ładne, czyste, przytulne w domu wybudowanym w 2008r. 
Mieszkanie składa się z dwóch pokoi, niezależnej widnej kuchni oraz łazienki. Powierzchnia mieszkania to około 45 m2.
1.   Pokój dzienny o powierzchni około 16 m2  posiada wyjście na balkon, umeblowanie: Narożnik, stół rozkładany z krzesłami, stolik kawowy, szafa, komoda i stolik pod telewizor.   
2.   Pokój (Sypialnia) o powierzchni około 11 m2 z oknem balkonowym, umeblowanie: dwa niezależne łózka do spania o wymiarach 80 x 200cm (bez materacy) z możliwością ich połączenia w jedno łóżko 160 x 200 cm, trzy szafy.
3.   Kuchnia o powierzchni około 7 m2 z oknem, umeblowanie: szafki kuchenne, lodówka, płyta indukcyjna (nowa) i piekarnik (nowy), zmywarka, okap.
4.   Łazienka o powierzchni około 4 m2. Umeblowanie: szafki łazienkowe, wanna z zasłoną pod prysznic, ubikacja, umywalka, pralka
5.   Przedpokój o powierzchni około 5 m2. Umeblowanie: szafa ubraniowa komandor z lustrami, szafka na buty.    
Wyposażenie zgodne z załączonymi zdjęciami.
Orientacja okien mieszkania: zachód.
Budynek jest ochraniany, wyposażony w windę, mieszkanie jest usytuowane na 3 piętrze z 4 pięter.
Dodatkowe zalety: centralne ogrzewanie, ochrona, teren ogrodzony, domofon.
  Lokalizacja:
Bardzo dobra lokalizacji w centrum Starej Pragi.
Bardzo dobra komunikacja: blisko Dworca Wschodniego z węzłem komunikacyjnego (2min spacerem), skąd można dojechać do Centrum tramwajem w 15 min a kolejką SKM w niecałe 10 minut. Blisko stacji Metra Wileńska (10 min na piechotę) i Metra Stadion (1 przystanek tramwajem).
Lokalizacja około 50 m do ulicy Ząbkowskiej, gdzie znajduje się Centrum Kultury Koneser, Fabryka Trzciny oraz wiele innych klimatycznych miejsc i modnych kafejek.  
W okolicy znajdują się również: basen, bank/bankomat, apteka przychodnia/szpital, centrum handlowe Wileńska, plac zabaw, szkoła podstawowa, żłobek, przedszkole, liczne sklepy spożywcze.
  Koszty:
Czynsz najmu 2300 zł / miesiąc
Czynsz administracji około 700 zł/miesiąc (zawiera zaliczki na poczet mediów wody, ścieków i śmieci)
Opłaty za media (prąd i ewentualne dopłaty do wody i ścieków)
Kaucja: 3000 zł.  
W czynszu najmu wliczono koszt telewizji kablowej i Internetu.    
  Inne:
Najem na okres min 12 miesięcy, tylko dla osób pracujących.
Do podpisania umowy potrzebne jest zaświadczenie o średnich dochodach netto za ostatnie 3 miesiące.  ‘
Umowa w formie najmu okazjonalnego.
W mieszkaniu obowiązuje całkowity zakaz palenia.
Istnieje możliwość najmu miejsca postojowego w garażu podziemnym w cenie 300 PLN/ miesiąc. ",https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-45m2-warszawa-ul-korsaka-6-ID2MWaR
4 300 zł,,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",54 m²,3,1/10,blok,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,,"piwnica, oddzielna kuchnia",,,"Mieszkanie na Mokotowie, 3 pokoje na 1 piętrze w atrakcyjnej okolicy, bardzo blisko metra Wierzbno, ciche - blok w głębi osiedla, okna wychodzą na osiedle i tereny zielone, przy al. Niepodległości 71, blisko Telewizji Polskiej, Polskiego Radia, basenów Warszawianki, Parku Arkadia, w pobliżu ogródków działkowych.
W okolicy jest duży wybór sklepów, restauracji i kawiarni.
  Mieszkanie składa się z salonu przechodniego z loggią, sypialni, pokoju, widnej kuchni, łazienki z wanną, przedpokoju razem 54 m2. Dodatkowo w cenie bez dopłat do wykorzystania jest piwnica.
Mieszkanie w pełni umeblowane, po remoncie i wymianie instalacji, część mebli i urządzeń AGD jest nowa, część mebli tradycyjna z drewna, do zamieszkania od zaraz.
Cena 4300 PLN  za miesiąc + czynsz
Więcej szczegółów pod numerem tel. 605 595 945,
 ",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-ciche-przy-metro-wierzbno-ID4pylT
2 600 zł,400 zł/miesiąc,"Nowy Rembertów, Rembertów, Warszawa, mazowieckie",50 m²,2,2,blok,balkon,do zamieszkania,prywatny,,"lodówka, meble, kuchenka, pralka",nie,garaż/miejsce parkingowe,,piwnica,52.255676,21.156655,Do wynajęcia umeblowane mieszkanie o pow. 50m2 wraz z miejscem postojowym w garażu podziemnym i piwnicą w blisko stacji PKP.,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-warszawa-rembertow-ID4nylw
2 800 zł,600 zł/miesiąc,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",36 m²,2,3/6,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2022,"klimatyzacja, tylko dla niepalących, pom. użytkowe",52.19915,20.888242,"Dwupokojowe // 36 m2 // ul. Herbu Oksza 4 // 20 minut pociągiem do centrum // wysoki standard // klimatyzacja //komórka
Wynajmę 2-pokojowe mieszkanie o pow. 36 m2 znajdujące się na 3 piętrze nowo wybudowanego  (2022 r.) osiedla z całodobową ochroną.
·         Wysoki standard – wykończone i zamieszkiwane krótko przez właściciela, w salonie klimatyzacja. Świeżo odmalowane.
·         Dużo przestrzeni do przechowywania dzięki sporym szafom w zabudowie w przedpokoju i sypialni.
·         Zabudowa kuchenna wykonana przez stolarza na wymiar z kompletem sprzętów (indukcja, piekarnik, okap, lodówka, zmywarka).
·         Pozostałe meble zupełnie nowe, w tym duże (160 cm) łóżko z nowym, wygodnym (24 cm) materacem.
·         W łazience nowa pralka, ścianka prysznicowa.
·         Na ścianach wieszaki na TV wraz z dedykowanymi gniazdkami. W oknach drewniane żaluzje.
W pogodne dni sprawdzi się loggia o pow. 4 m2.
W cenie najmu komórka lokatorska, w której można przechowywać np. rowery.

Mieszkanie bardzo dobrze skomunikowane - 5 minut piechotą do stacji PKP Warszawa Ursus, skąd często kursują pociągi do centrum Warszawy (czas podróży 20 minut).
W okolicy wiele sklepów i usług, min. CH Factory, Lidl, Żabki, piekarnie, restauracje, kawiarnie i wiele innych.
Możliwość wynajęcia razem z wygodnym do zaparkowania miejscem parkingowym (+200 zł).
Opłata za najem wynosi 2800 zł + czynsz 600 zł (w czynszu zaliczki na wodę i ogrzewanie). Prąd rozliczany według zużycia.
Wyłącznie najem okazjonalny. Mieszkanie dostępne od zaraz.
Studentom, osobom palącym i ze zwierzętami dziękuję.
Zdjęcia są moją własnością - agencjom i pośrednikom dziękuję.
Zapraszam do kontaktu pod numerem 512 949 065. I speak English.",https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-blisko-pkp-klima-komorka-ID4psm3
2 500 zł,,"Okęcie, Włochy, Warszawa, mazowieckie",35 m²,1,1/1,dom wolnostojący,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",nie,,2010,,52.177584,20.941117,"Wynajmę bezpośrednio kawalerkę 35m2
Mieszkanie położone jest ok. 150 m od AL.Krakowskiej ,
w okolicy znajduje się szkoła przedszkole, centrum handlowe , bank, poczta 
ok.150 m do pętli P+R  Al.Krakowska
Opłaty czynsz 2500 + opłaty licznikowe /woda,prąd,gaz/
Kontakt Andrzej 501090134",https://www.otodom.pl/pl/oferta/kawalerka-35m2-na-okeciu-blisko-al-krakowskiej-ID4pDbg
